university,ouac_code,program_name,status,admission_grade,admission_date,supplemental_required,supp_notes,comments
Carleton,CED,Engineering: Mechanical,Offer,95,11/21/2025,,,"This was offer 1/6 that I got. I got this one @ 5:09 PM sem 1 midterms (top 6): GRADE 11 ANTHRO [100], comp sci [97], english (online summer school) [93], leadership [87], physics [97], adv func [96]"
Carleton,CED,Engineering: Mechanical,Offer,95.16,11/26/2025,,,
Carleton,CED,Engineering: Mechanical,Offer,94.5,11/26/2025,,,
Carleton,CED,Engineering: Mechanical,Offer,94.67,1/3/2026,,,
Carleton,CED,Engineering: Mechanical,Offer,90.2,2/24/2026,,,
Carleton,CED,Engineering: Mechanical,Offer,91.5,4/7/2026,,,
Carleton,CED,Engineering: Mechanical,Offer,91.5,4/7/2026,,,
Carleton,CED,Engineering: Mechanical,Offer,90.5,4/10/2026,,,
Carleton,CED,Engineering: Mechanical,Rejected,90,6/3/2026,,,
Carleton,CEF,Engineering: Electrical,Offer,90.67,10/28/2025,,,Conditional Acceptance
Carleton,CEF,Engineering: Electrical,Offer,98.67,10/29/2025,,,
Carleton,CEF,Engineering: Electrical,Offer,90,10/29/2025,,,Yay :tearsofjoy:
Carleton,CEF,Engineering: Electrical,Offer,93.33,11/7/2025,,,"Only used grade 11 marks and one grade 12 final, very early offer"
Carleton,CEF,Engineering: Electrical,Offer,89.33,11/11/2025,,,8k scholarship. They used 4 gr 11 marks and 2 gr 12 marks (got the offer before midterms). Also got the offer the day after they got my grades 💀
Carleton,CEF,Engineering: Electrical,Offer,89,11/11/2025,,,
Carleton,CEF,Engineering: Electrical,Offer,91.67,11/12/2025,,,
Carleton,CEF,Engineering: Electrical,Offer,97.67,11/14/2025,,,
Carleton,CEF,Engineering: Electrical,Offer,96.5,11/27/2025,,,"IB, $16k entrance scholarship"
Carleton,CEF,Engineering: Electrical,Offer,87.6,2/15/2026,,,
Carleton,CEF,Engineering: Electrical,Offer,95,2/24/2026,,,
Carleton,CEF,Engineering: Electrical,Offer,86,2/25/2026,,,
Carleton,CEG,Engineering: Biomedical & Electrical,Offer,88.5,10/29/2025,,,
Carleton,CEG,Engineering: Biomedical & Electrical,Offer,85,2/25/2026,,,thought ts would be more competitive ngl loll
Carleton,CEG,Engineering: Biomedical & Electrical,Deferred,83,5/20/2026,,,deferred from engineering: biomedical & mechanical
Carleton,CEJ,Engineering: Biomedical & Mechanical,Offer,90.67,11/4/2025,,,$12k (over 4 years) grades-based entrance scholarship.
Carleton,CEJ,Engineering: Biomedical & Mechanical,Offer,92.2,1/8/2026,,,$3000 scholarship
Carleton,CEJ,Engineering: Biomedical & Mechanical,Offer,91.5,1/8/2026,,,
Carleton,CEK,Engineering: Sustainable & Renewable Energy,Offer,95,11/25/2025,,,IBDP candidate
Carleton,CEK,Engineering: Sustainable & Renewable Energy (Efficient Energy Generation & Conversion (co-op optional)),Offer,87.6,2/15/2026,,,
Carleton,CEM,Engineering: Mechatronics,Offer,97,10/21/2025,,,Got Entrance Scholarships
Carleton,CEM,Engineering: Mechatronics,Offer,95.16,10/27/2025,,,"IB courses; only Grade 11 grades were used, as midterms were not out yet."
Carleton,CEM,Engineering: Mechatronics,Offer,90.67,10/28/2025,,,"$12,000 scholarship"
Carleton,CEM,Engineering: Mechatronics,Offer,95.5,10/29/2025,,,IB student
Carleton,CEM,Engineering: Mechatronics,Offer,95,10/29/2025,,,"16k max scholarship, grade 11 top 6 as avg bc midterms haven't been sent at time of offer"
Carleton,CEM,Engineering: Mechatronics,Offer,93.4,10/29/2025,,,12k scholarship + they sent out the offer before midterms so my average is my gr 11 one <3 you got this guys
Carleton,CEM,Engineering: Mechatronics,Offer,94,11/14/2025,,,Math + Physics IB
Carleton,CEM,Engineering: Mechatronics,Offer,88.5,11/19/2025,,,
Carleton,CEM,Engineering: Mechatronics,Offer,94.17,11/21/2025,,,
Carleton,CEM,Engineering: Mechatronics,Offer,90.12,2/3/2026,,,"3k Scholarship + Conditional of 82% average in Advanced Functions, Physics, Chemistry and Calculus and Vectors"
Carleton,CEM,Engineering: Mechatronics,Offer,88.3,4/10/2026,,,
Carleton,CEM,Engineering: Mechatronics,Offer,86.7,5/13/2026,,,"$8k renewable scholarship ($2k/year), head of manufacturing subteam for my FIRST robotics team"
Carleton,CEP,Engineering: Physics,Offer,89.48,10/22/2025,,,
Carleton,CEP,Engineering: Physics,Offer,92.2,11/12/2025,,,
Carleton,CEP,Engineering: Physics,Offer,79,2/23/2026,,,
Carleton,CEP,Engineering: Physics,Offer,91,5/6/2026,,,
Carleton,CES,Engineering: Software,Offer,97,10/8/2025,,,44 IB Predicted
Carleton,CES,Engineering: Software,Offer,98,10/28/2025,,,
Carleton,CES,Engineering: Software,Offer,96,10/28/2025,,,
Carleton,CES,Engineering: Software,Offer,93,11/5/2025,,,
Carleton,CES,Engineering: Software,Offer,99.33,11/7/2025,,,AP
Carleton,CEX,Engineering: Architectural Conservation and Sustainability,Offer,92,1/5/2026,,,
Carleton,CEX,Engineering: Architectural Conservation and Sustainability,Offer,89,3/24/2026,,,I sent an application for the architectural design program at Carleton but didn't even submit the required supp app's and still somehow got into this program (alternative offer).
Carleton,CGI,Global & International Studies,Offer,83,10/23/2025,,,
Carleton,CGI,Global & International Studies,Offer,96.8,11/22/2025,,,AP Precalc and Eng Lit
Carleton,CGS,Cognitive Science (Cognition & Psychology) (co-op),Offer,85.8,11/3/2025,,,
Carleton,CH,Arts - Humanities,Offer,97,10/22/2025,,,
Carleton,CH,Arts - Political Science,Offer,96.33,10/22/2025,,,
Carleton,CH,Arts - Criminology & Criminal Justice,Offer,90.5,11/11/2025,,,
Carleton,CH,Arts - Law Concentration in Criminal Law and Social Order,Offer,84.67,11/14/2025,,,Still waiting for queens and waterloo
